dte,value,group
2018-01-01,25,A
2018-02-01,17,A
2018-03-01,44,B
2018-04-01,53,A
2018-05-01,26,B
2018-06-01,43,B
2018-07-01,56,B
2018-08-01,21,B
2018-09-01,27,B
2018-10-01,14,B
2018-11-01,17,B
2018-12-01,27,B
2019-01-01,32,A
2019-02-01,18,A
2019-03-01,29,A
2019-04-01,41,A
2019-05-01,18,B
2019-06-01,19,B
2019-07-01,13,B
2019-08-01,16,B
2019-09-01,18,B
2019-10-01,24,B
2019-11-01,16,B
2019-12-01,28,A
2020-01-01,35,A
2020-02-01,37,A
2020-03-01,54,A
2020-04-01,43,A
2020-05-01,60,A
2020-06-01,28,A
2020-07-01,24,A
2020-08-01,57,B
2020-09-01,13,A
2020-10-01,54,A
2020-11-01,55,A
2020-12-01,11,A
2021-01-01,36,A
2021-02-01,10,A
2021-03-01,14,B
2021-04-01,12,B
2021-05-01,41,A
2021-06-01,58,B
2021-07-01,34,B
2021-08-01,16,B
2021-09-01,30,B
2021-10-01,30,B
2021-11-01,30,B
2021-12-01,15,A
2022-01-01,55,B
2022-02-01,55,B
2022-03-01,38,A
2022-04-01,38,B
2022-05-01,49,A
2022-06-01,50,A
2022-07-01,35,A
2022-08-01,22,A
2022-09-01,18,A
2022-10-01,43,B
2022-11-01,22,B
2022-12-01,27,B
2023-01-01,53,A
2023-02-01,16,B
2023-03-01,36,A
2023-04-01,38,B
2023-05-01,13,A
2023-06-01,28,B
2023-07-01,21,B
2023-08-01,57,B
2023-09-01,44,A
2023-10-01,20,B
2023-11-01,31,B
2023-12-01,23,A
2024-01-01,47,A
2024-02-01,21,B
2024-03-01,27,A
2024-04-01,56,A
2024-05-01,55,B
2024-06-01,41,A
2024-07-01,44,B
2024-08-01,60,B
2024-09-01,31,A
2024-10-01,29,B
2024-11-01,44,B
2024-12-01,49,A
2025-01-01,40,A
2025-02-01,41,B
2025-03-01,57,A
2025-04-01,16,A
2025-05-01,17,B
2025-06-01,39,B
2025-07-01,11,B
2025-08-01,59,A
2025-09-01,23,A
2025-10-01,21,A
2025-11-01,16,B
2025-12-01,14,B
2026-01-01,23,A
2026-02-01,50,A
2026-03-01,34,B
2026-04-01,33,B
2026-05-01,38,A
2026-06-01,12,B
2026-07-01,56,B
2026-08-01,36,B
2026-09-01,34,B
2026-10-01,39,A
2026-11-01,47,B
2026-12-01,54,B
2027-01-01,57,B
2027-02-01,53,B
2027-03-01,40,A
2027-04-01,34,B
2027-05-01,54,B
2027-06-01,14,B
2027-07-01,57,A
2027-08-01,16,B
2027-09-01,59,B
2027-10-01,58,A
2027-11-01,54,B
2027-12-01,24,B
2028-01-01,40,A
2028-02-01,27,B
2028-03-01,21,A
2028-04-01,31,A
2028-05-01,16,A
2028-06-01,32,A
2028-07-01,53,B
2028-08-01,48,A
2028-09-01,10,A
2028-10-01,31,A
2028-11-01,44,A
2028-12-01,48,B
2029-01-01,43,A
2029-02-01,15,A
2029-03-01,32,B
2029-04-01,58,A
2029-05-01,58,B
2029-06-01,47,B
2029-07-01,56,A
2029-08-01,16,B
2029-09-01,30,B
2029-10-01,44,B
2029-11-01,33,A
2029-12-01,16,B
2030-01-01,46,B
2030-02-01,49,B
2030-03-01,20,B
2030-04-01,24,B
2030-05-01,59,A
2030-06-01,22,A
2030-07-01,15,B
2030-08-01,27,A
2030-09-01,27,A
2030-10-01,30,B
2030-11-01,27,A
2030-12-01,55,B
2031-01-01,22,B
2031-02-01,59,B
2031-03-01,25,B
2031-04-01,57,B
2031-05-01,18,B
2031-06-01,34,A
2031-07-01,46,A
2031-08-01,46,B
2031-09-01,44,B
2031-10-01,59,A
2031-11-01,34,A
2031-12-01,55,B
2032-01-01,45,A
2032-02-01,59,B
2032-03-01,39,A
2032-04-01,14,A
2032-05-01,24,A
2032-06-01,20,B
2032-07-01,13,A
2032-08-01,24,B
2032-09-01,32,A
2032-10-01,43,B
2032-11-01,31,B
2032-12-01,58,B
2033-01-01,25,B
2033-02-01,34,B
2033-03-01,52,B
2033-04-01,38,B
2033-05-01,10,B
2033-06-01,60,B
2033-07-01,34,A
2033-08-01,22,B
2033-09-01,26,A
2033-10-01,49,B
2033-11-01,13,B
2033-12-01,39,B
2034-01-01,56,A
2034-02-01,21,B
2034-03-01,47,B
2034-04-01,18,B
2034-05-01,28,A
2034-06-01,20,B
2034-07-01,50,A
